,,,,,,Appreciation,,,,,,Depreciation,,,,
Start,End,Start Value,End Value,Abs Change,,Start,End,Start Value,End Value,Abs Change,,Start,End,Start Value,End Value,Abs Change
3/20/90,7/14/92,-0.14,2.65,279%,,3/20/90,7/14/92,-0.14,2.65,279%,,7/14/92,4/7/00,2.65,-0.52,-317%
7/14/92,4/7/00,2.65,-0.52,-317%,,4/7/00,7/29/03,-0.52,2.75,327%,,7/29/03,11/15/06,2.75,-0.19,-294%
4/7/00,7/29/03,-0.52,2.75,327%,,11/15/06,11/13/08,-0.19,2.6,279%,,11/13/08,12/26/08,2.6,1.27,-133%
7/29/03,11/15/06,2.75,-0.19,-294%,,12/26/08,2/4/11,1.27,2.91,164%,,2/4/11,7/25/12,2.91,1.21,-170%
11/15/06,11/13/08,-0.19,2.6,279%,,7/25/12,12/31/13,1.21,2.66,145%,,12/31/13,5/23/16,2.66,0.93,-173%
11/13/08,12/26/08,2.6,1.27,-133%,,,,,,,,,,,,
12/26/08,2/4/11,1.27,2.91,164%,,,,,,,,,,,,
2/4/11,7/25/12,2.91,1.21,-170%,,,,,,,,,,,,
7/25/12,12/31/13,1.21,2.66,145%,,,,,,,,,,,,
12/31/13,5/23/16,2.66,0.93,-173%,,,,,,,,,,,,